who,title,invitedSpeaker,description,location,date,startTime,endTime,onlinemeeting,link,extra,lessonFolder
Duncan,Weekly meeting ,FALSE,"A review of optimizers, regularization, and other technical nitty-gritty of implementing NNs",Discord,2021-01-15,11:00,12:30,--,--,--,
"Matt, Jeremy",Weekly meeting ,FALSE,Review NLP: Transformers,Discord,2021-01-22,11:00,12:30,--,--,--,
Tiantian,Weekly meeting ,FALSE,Review Code for Tranformer,Discord,2021-01-29,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,PyTorch or tensorflow: MNIST classification exercise hands-on ,Discord,2021-02-05,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,NN training coding session Q&A,Discord,2021-02-12,11:00,12:30,--,--,--,
Jeremy,Weekly meeting ,FALSE,SVM and extensions,Discord,2021-02-19,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,Coding session,Discord,2021-02-26,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,GNN talk: https://youtu.be/uF53xsT7mjc?t=75,Discord,2021-03-05,11:00,12:30,--,https://youtu.be/uF53xsT7mjc?t=75,--,
--,Weekly meeting ,FALSE,GNN talk part 2,Discord,2021-03-12,11:00,12:30,--,--,--,
--,No meeting: APS week ,FALSE,--,Discord,2021-03-19,11:00,12:30,--,--,--,
Nava,Weekly meeting ,FALSE,PCA presentation,Discord,2021-03-26,11:00,12:30,--,--,--,
--,Weekly meeting ,FALSE,Coding session,Discord,2021-04-02,11:00,12:30,--,--,--,
Matt,Weekly meeting ,FALSE,"Generative modelling (GAN, VAE, RBM, transformers)",Discord,2021-04-09,11:00,12:30,--,--,--,
Duncan,Weekly meeting ,FALSE,DALL-E (all read blog at least) https://openai.com/blog/dall-e/,Discord,2021-04-16,11:00,12:30,--,https://openai.com/blog/dall-e/,--,
Fang,Weekly meeting ,FALSE,Google collab walkthrough: ,Discord,2021-04-23,11:00,12:30,--,--,--,
